SamplingTime, AccelerationX, AccelerationY, AccelerationZ, GyroX, GyroY, GyroZ, MagneticFieldX, MagneticFieldY, MagneticFieldZ, Latitude
1763785742.294334, 0.152481, 0.035614, -9.759065, -0.002413, 0.002386, -0.003055, -94.838379, 238.529755, 816.541138, 
1763785742.304327, 0.158616, 0.040103, -9.777770, -0.003525, 0.001383, -0.002422, -94.646744, 238.628494, 816.595398, 
1763785742.314343, 0.170138, 0.031274, -9.788993, -0.002970, 0.001557, -0.001998, -94.885986, 238.559906, 816.597107, 
1763785742.323747, 0.164003, 0.039504, -9.771336, -0.003103, 0.000017, -0.003074, -94.767883, 238.454422, 816.529053, 
1763785742.334331, 0.162656, 0.041599, -9.774927, 0.000288, 0.000783, -0.001196, -94.825592, 238.647247, 816.529053, 
1763785742.344334, 0.162656, 0.041599, -9.774927, -0.002524, 0.001179, -0.002312, -95.031952, 238.614441, 816.512451, 
1763785742.354329, 0.145298, 0.029928, -9.778817, -0.002255, 0.000947, -0.001645, -94.763580, 238.426956, 816.456909, 
1763785742.364341, 0.150236, 0.029479, -9.781810, -0.002693, 0.002099, -0.001532, -94.635162, 238.538162, 816.569092, 
1763785742.373751, 0.154426, 0.023493, -9.774179, -0.002945, 0.003246, -0.003086, -94.804413, 238.620316, 816.626892, 
1763785742.383672, 0.151284, 0.024092, -9.781062, -0.002454, 0.004227, -0.002282, -94.805603, 238.655121, 816.563049, 
1763785742.394360, 0.135422, 0.025438, -9.780912, -0.004137, 0.003612, -0.002232, -95.044662, 238.520279, 816.658936, 34.136307
1763785742.404371, 0.148441, 0.019154, -9.767295, -0.004467, 0.004429, -0.001139, -94.841019, 238.643204, 816.685852, 34.136307
1763785742.414395, 0.149937, 0.027234, -9.785701, -0.004609, 0.004160, -0.001602, -94.847656, 238.538971, 816.740479, 34.136307
1763785742.423780, 0.147393, 0.033220, -9.771186, -0.003421, 0.004352, -0.003846, -94.924225, 238.642792, 816.758057, 34.136307
1763785742.433598, 0.146645, 0.041899, -9.767894, -0.004429, 0.005605, -0.001959, -94.939438, 238.421356, 816.453369, 34.136307
1763785742.444305, 0.153079, 0.029179, -9.781810, -0.004173, 0.003108, -0.003395, -94.722672, 238.525162, 816.712708, 34.136307
1763785742.454317, 0.149189, 0.032471, -9.785252, -0.002463, 0.003330, -0.002731, -94.734879, 238.349747, 816.857117, 34.136307
1763785742.464355, 0.153229, 0.025738, -9.781810, -0.001925, 0.002831, -0.001884, -95.097702, 238.410004, 816.624390, 34.136307
1763785742.473786, 0.160262, 0.034716, -9.773430, -0.002317, 0.004559, -0.001900, -94.831802, 238.315796, 816.589844, 34.136307
1763785742.483688, 0.169539, 0.022595, -9.771784, -0.003186, 0.002718, -0.001335, -94.986023, 238.537216, 816.726196, 34.136307
1763785742.494356, 0.149638, 0.040552, -9.764602, -0.002159, 0.002633, -0.002215, -94.838226, 238.598816, 816.633301, 34.136307
1763785742.504365, 0.158765, 0.022296, -9.778668, -0.002896, 0.002864, -0.001377, -94.710083, 238.337982, 816.788147, 34.136307
1763785742.514362, 0.161609, 0.020949, -9.779566, -0.002983, 0.001782, -0.001810, -94.930695, 238.531403, 816.553345, 34.136307
1763785742.523793, 0.144999, 0.031274, -9.766846, -0.001992, 0.002583, -0.000618, -94.848022, 238.230545, 816.652832, 34.136307
1763785742.533697, 0.149638, 0.038457, -9.776872, -0.004140, 0.000925, -0.001703, -94.715363, 238.389725, 816.709839, 34.136307
1763785742.544352, 0.162207, 0.033818, -9.777620, -0.002525, 0.002984, -0.003362, -94.669144, 238.376678, 816.689758, 34.136307
1763785742.554340, 0.154276, 0.024241, -9.780912, -0.004973, 0.003362, -0.001682, -94.835464, 238.391220, 816.637817, 34.136307
1763785742.564346, 0.158765, 0.035913, -9.777321, -0.002960, 0.003062, -0.003225, -95.101624, 238.204300, 816.584412, 34.136307
1763785742.574296, 0.152181, 0.033369, -9.768343, -0.003633, 0.002679, -0.002226, -94.717560, 238.151321, 816.594177, 34.136307
1763785742.584141, 0.149338, 0.020051, -9.768343, -0.003114, 0.003032, -0.000977, -94.657867, 238.216248, 816.539795, 34.136307
1763785742.594338, 0.139462, 0.028581, -9.771036, -0.003140, 0.003835, -0.003174, -94.887009, 238.379639, 816.676636, 34.136307
1763785742.604337, 0.156820, 0.027533, -9.772233, -0.004198, 0.003025, -0.002636, -94.702133, 238.255661, 816.604980, 34.136307
1763785742.614335, 0.159514, 0.034417, -9.771336, -0.002048, 0.002451, -0.002541, -94.906525, 238.126907, 816.515076, 34.136307
1763785742.624308, 0.154576, 0.037409, -9.784354, -0.003212, 0.003062, -0.001570, -94.694809, 238.447708, 816.614380, 34.136307
1763785742.634356, 0.158017, 0.033968, -9.776722, -0.001757, 0.002636, -0.002322, -94.943848, 238.473160, 816.634460, 34.136307
1763785742.644353, 0.158017, 0.033968, -9.776722, -0.002898, 0.004284, -0.002639, -94.722610, 238.376099, 816.500122, 34.136307
1763785742.653686, 0.156820, 0.021997, -9.794679, -0.003155, 0.003709, -0.000774, -94.653595, 238.317200, 816.645996, 34.136307
1763785742.664348, 0.161010, 0.026935, -9.781361, -0.003472, 0.002325, -0.002435, -94.722900, 238.381332, 816.578308, 34.136307
1763785742.674325, 0.146346, 0.037409, -9.775376, -0.002866, 0.001784, -0.002909, -94.828308, 238.237427, 816.668701, 34.136307
1763785742.684346, 0.163554, 0.029179, -9.773430, -0.002709, 0.001922, -0.003090, -94.664886, 238.293274, 816.560181, 34.136307
1763785742.694339, 0.163554, 0.029179, -9.773430, -0.003884, 0.002561, -0.002095, -94.757294, 238.406509, 816.572571, 34.136307
1763785742.704334, 0.145897, 0.043694, -9.782409, -0.004020, 0.002361, -0.002246, -94.805054, 238.351807, 816.574646, 34.136307
1763785742.714339, 0.149039, 0.033818, -9.777022, -0.002780, 0.003083, -0.003397, -94.806641, 238.467392, 816.482910, 34.136307
1763785742.724325, 0.149039, 0.033818, -9.777022, -0.002363, 0.001589, -0.003456, -94.742706, 238.145370, 816.518127, 34.136307
1763785742.734344, 0.154725, 0.029479, -9.787197, -0.002904, 0.002826, -0.003690, -94.891083, 238.291824, 816.612488, 34.136307
1763785742.744335, 0.159663, 0.032322, -9.787796, -0.003856, 0.002992, -0.002711, -94.676712, 238.489426, 816.583740, 34.136307
1763785742.754115, 0.159663, 0.032322, -9.787796, -0.002352, 0.003049, -0.002315, -94.654892, 238.239838, 816.513306, 34.136307
1763785742.764355, 0.148291, 0.028730, -9.774927, -0.003052, 0.002284, -0.003355, -94.728607, 238.197296, 816.616699, 34.136307
1763785742.774335, 0.149937, 0.029928, -9.777471, -0.001887, 0.002748, -0.002612, -94.700089, 238.009567, 816.383606, 34.136307
1763785742.784340, 0.158616, 0.028581, -9.786000, -0.002861, 0.004086, -0.003046, -94.713928, 238.133789, 816.470581, 34.136307
1763785742.794345, 0.158616, 0.028581, -9.786000, -0.002858, 0.002638, -0.001907, -94.674942, 237.958023, 816.644775, 34.136307
1763785742.804337, 0.151733, 0.039205, -9.776124, -0.003083, 0.002576, -0.001928, -94.486633, 238.187729, 816.348511, 34.136307
1763785742.814355, 0.143203, 0.032022, -9.783157, -0.003317, 0.003504, -0.002138, -94.813446, 238.082153, 816.428284, 34.136307
1763785742.824340, 0.153379, 0.030227, -9.770737, -0.003407, 0.002545, -0.002065, -94.584778, 238.394241, 816.408752, 34.136307
1763785742.834346, 0.149189, 0.025289, -9.759365, -0.003753, 0.002295, -0.001889, -94.839447, 238.058624, 816.577332, 34.136307
1763785742.844338, 0.149189, 0.025289, -9.759365, -0.002070, 0.002064, -0.001279, -94.587067, 237.992340, 816.444702, 34.136307
1763785742.854334, 0.159065, 0.032621, -9.770887, -0.004594, 0.002164, -0.003292, -94.732376, 238.259872, 816.645325, 34.136307
1763785742.864347, 0.159065, 0.032621, -9.770887, -0.002438, 0.003398, -0.002451, -94.691986, 238.212616, 816.471008, 34.136307
1763785742.873835, 0.163105, 0.021099, -9.758616, -0.002687, 0.002618, -0.001481, -94.689407, 238.189362, 816.572266, 34.136307
1763785742.884338, 0.153528, 0.033968, -9.772383, -0.002777, 0.002668, -0.001500, -94.903946, 238.221741, 816.392090, 34.136307
1763785742.894336, 0.158167, 0.035314, -9.777471, -0.002263, 0.002094, -0.002607, -94.603531, 238.141998, 816.497986, 34.136307
1763785742.904347, 0.147393, 0.041899, -9.789142, -0.001833, 0.002258, -0.003440, -94.463699, 238.271774, 816.456604, 34.136307
1763785742.914345, 0.147393, 0.041899, -9.789142, -0.003820, 0.001169, -0.001125, -94.717789, 238.209808, 816.588257, 34.136307
1763785742.923841, 0.153977, 0.039654, -9.772682, -0.003693, 0.002282, -0.001950, -94.572342, 238.294205, 816.615112, 34.136307
1763785742.933588, 0.147842, 0.027084, -9.774328, -0.002913, 0.002625, -0.002823, -94.818069, 238.433655, 816.446594, 34.136307
1763785742.944340, 0.141557, 0.018106, -9.781062, -0.002925, 0.002333, -0.003348, -94.558090, 238.295822, 816.217651, 34.136307
1763785742.954333, 0.149488, 0.033070, -9.762507, -0.001839, 0.002064, -0.003343, -94.594116, 238.251053, 816.240723, 34.136307
1763785742.964358, 0.145298, 0.026187, -9.792135, -0.003204, 0.002278, -0.001759, -94.771393, 238.469452, 816.461914, 34.136307
1763785742.973854, 0.155623, 0.034716, -9.795876, -0.002900, 0.003108, -0.002854, -94.691711, 238.249405, 816.580994, 34.136307
1763785742.984345, 0.143652, 0.030227, -9.761609, -0.002689, 0.003834, -0.002012, -94.533752, 238.316650, 816.221375, 34.136307
1763785742.994345, 0.158167, 0.026635, -9.783307, -0.001575, 0.002996, -0.002808, -94.519638, 238.311859, 816.434937, 34.136307
1763785743.004335, 0.144999, 0.032771, -9.761310, -0.002818, 0.003240, -0.001999, -94.481277, 238.373718, 816.414062, 34.136307
1763785743.014355, 0.155324, 0.029030, -9.776124, -0.004184, 0.003613, -0.001579, -94.665756, 238.122101, 816.516357, 34.136307
1763785743.023856, 0.152032, 0.023343, -9.773430, -0.003529, 0.003794, -0.003790, -94.632675, 238.385345, 816.548218, 34.136307
1763785743.034334, 0.153678, 0.030227, -9.776423, -0.002890, 0.003756, -0.002393, -94.470917, 238.455582, 816.446167, 34.136307
1763785743.044338, 0.153977, 0.036512, -9.782558, -0.002058, 0.004295, -0.001769, -94.669876, 238.196930, 816.651367, 34.136307
