SamplingTime, AccelerationX, AccelerationY, AccelerationZ, GyroX, GyroY, GyroZ, MagneticFieldX, MagneticFieldY, MagneticFieldZ, Latitude
1763789623.322797, 0.066439, 0.032022, -9.746795, -0.007541, 0.004455, -0.001141, -83.674210, 239.707993, 816.044373, 
1763789623.332442, 0.078560, 0.035763, -9.793033, -0.004065, 0.005389, -0.001673, -83.771896, 239.603485, 816.083801, 
1763789623.342770, 0.082151, 0.040851, -9.765500, -0.003120, 0.003739, -0.001509, -83.475418, 239.874893, 816.027832, 
1763789623.352791, 0.071227, 0.036212, -9.780463, -0.003141, 0.003144, -0.003105, -84.006729, 239.989426, 816.182007, 
1763789623.362789, 0.080056, 0.031125, -9.781212, -0.001489, 0.000495, -0.001969, -83.858124, 239.906876, 816.150635, 
1763789623.372779, 0.088585, 0.034117, -9.776423, -0.003405, 0.001124, -0.003947, -83.855377, 239.862976, 815.833557, 
1763789623.382816, 0.076315, 0.027084, -9.775825, -0.001535, 0.002020, -0.003186, -83.680557, 239.925507, 815.974731, 34.136306
1763789623.392796, 0.072425, 0.037858, -9.788095, -0.001899, 0.003308, -0.001420, -83.640167, 239.568924, 816.111389, 34.136306
1763789623.402821, 0.068085, 0.020500, -9.778967, -0.001593, 0.001337, -0.003108, -83.602768, 239.753342, 816.090698, 34.136306
1763789623.412818, 0.067935, 0.024541, -9.784354, -0.001455, 0.001474, -0.001462, -83.615067, 239.624237, 816.254395, 34.136306
1763789623.422813, 0.078410, 0.022745, -9.788245, -0.002304, 0.001621, -0.002518, -83.396286, 239.639496, 815.957031, 34.136306
1763789623.432817, 0.053271, 0.032621, -9.774777, -0.001700, 0.002161, -0.001473, -83.488068, 239.538147, 816.039062, 34.136306
1763789623.442804, 0.053421, 0.012570, -9.790340, -0.003564, 0.003617, -0.001272, -83.455124, 239.706497, 815.973511, 34.136306
1763789623.452827, 0.056114, 0.019603, -9.766547, -0.003004, 0.003612, -0.003261, -83.490936, 239.686096, 816.083008, 34.136306
1763789623.462811, 0.069881, 0.029928, -9.777171, -0.003794, 0.004895, -0.002897, -83.503952, 239.550949, 816.094604, 34.136306
1763789623.472814, 0.069881, 0.029928, -9.777171, -0.004045, 0.003944, -0.002411, -83.558273, 239.522446, 815.877563, 34.136306
1763789623.482803, 0.073173, 0.035015, -9.775525, -0.003936, 0.004635, -0.000718, -83.517319, 239.403534, 816.097168, 34.136306
1763789623.492791, 0.072574, 0.025438, -9.767295, -0.004679, 0.003553, -0.002621, -83.727509, 239.588135, 816.092773, 34.136306
1763789623.502821, 0.072574, 0.025438, -9.767295, -0.003908, 0.003543, -0.002040, -83.599182, 239.710434, 815.968689, 34.136306
1763789623.512797, 0.067636, 0.027384, -9.780463, -0.001948, 0.003729, -0.001391, -83.667221, 239.592667, 816.321472, 34.136306
1763789623.522804, 0.084396, 0.035464, -9.773879, -0.002467, 0.003839, -0.002275, -83.662064, 239.768967, 815.966919, 34.136306
