SamplingTime, AccelerationX, AccelerationY, AccelerationZ, GyroX, GyroY, GyroZ, MagneticFieldX, MagneticFieldY, MagneticFieldZ, Latitude
1763769913.155190, 0.153678, 0.017657, -9.776722, 0.000904, 0.003140, -0.000759, -90.016281, 238.625320, 818.059143, 34.136307
1763769913.165197, 0.135272, 0.010026, -9.763255, 0.000577, 0.000458, -0.001273, -90.022430, 238.809296, 817.994812, 34.136307
1763769913.175197, 0.128838, 0.010175, -9.778817, -0.001415, 0.001171, 0.000120, -90.198547, 238.850616, 818.296082, 34.136307
1763769913.184820, 0.135572, -0.004788, -9.782708, -0.003143, 0.000203, -0.001332, -90.194580, 238.699051, 818.264648, 34.136307
1763769913.195198, 0.119860, -0.000599, -9.761908, -0.004166, -0.000124, -0.001572, -90.151764, 238.779739, 818.153320, 34.136307
1763769913.205199, 0.112677, 0.005537, -9.775226, -0.005513, 0.001803, -0.000771, -90.108154, 238.665176, 818.146851, 34.136307
1763769913.215198, 0.112527, 0.013767, -9.769839, -0.006670, 0.000476, -0.002185, -90.207474, 238.671234, 818.312622, 34.136307
1763769913.225198, 0.124349, 0.017208, -9.775076, -0.004673, 0.002175, -0.002026, -90.014175, 238.698776, 818.214478, 34.136307
1763769913.234827, 0.131382, 0.027982, -9.788843, -0.004567, 0.001855, -0.001475, -90.029953, 238.718597, 818.253845, 34.136307
1763769913.245207, 0.122852, 0.027384, -9.764303, -0.004146, 0.001618, -0.001986, -90.074493, 238.611542, 818.119995, 34.136307
1763769913.255194, 0.118064, 0.028431, -9.771784, -0.002511, 0.002867, -0.003277, -90.166138, 238.735809, 818.342773, 34.136307
1763769913.265190, 0.118962, 0.019453, -9.781062, -0.002391, 0.003092, -0.004090, -90.267715, 238.863235, 818.137573, 34.136307
1763769913.275198, 0.114772, 0.020500, -9.798719, 0.000140, 0.003803, -0.004016, -90.178192, 238.877457, 817.970459, 34.136307
1763769913.284830, 0.133028, 0.029179, -9.776872, -0.000316, 0.004115, -0.003121, -90.193588, 238.826309, 818.342346, 34.136307
1763769913.295180, 0.123002, 0.014964, -9.779566, -0.001801, 0.003216, -0.003997, -90.153824, 238.807434, 818.149292, 34.136307
1763769913.305188, 0.129736, 0.007183, -9.769839, -0.000329, 0.004385, -0.004008, -90.177338, 238.744949, 818.318542, 34.136307
1763769913.315180, 0.140510, 0.007781, -9.777321, -0.001623, 0.004013, -0.003190, -90.009827, 238.805878, 818.001770, 34.136307
1763769913.325189, 0.124349, 0.001347, -9.786299, -0.004104, 0.004705, -0.001659, -90.217316, 238.832581, 818.239197, 34.136307
1763769913.334826, 0.127491, 0.007482, -9.784653, -0.003266, 0.006323, -0.004769, -89.980392, 238.540863, 818.244324, 34.136307
1763769913.344685, 0.132729, 0.011522, -9.761310, -0.002908, 0.002675, -0.003892, -90.200165, 238.755463, 818.139771, 34.136307
1763769913.355177, 0.118663, 0.007332, -9.764452, -0.004005, 0.002545, -0.003752, -90.238403, 238.534439, 818.231567, 34.136307
1763769913.365179, 0.133626, 0.028282, -9.786000, -0.003713, 0.002649, -0.003284, -90.218811, 238.732147, 818.047668, 34.136307
1763769913.375029, 0.126893, 0.014365, -9.786748, -0.003289, 0.001039, -0.003878, -90.107666, 238.495300, 818.110229, 34.136307
1763769913.384836, 0.124199, 0.011971, -9.773879, -0.003309, 0.001540, -0.002517, -90.059631, 238.638657, 818.133423, 34.136307
1763769913.394695, 0.125097, 0.018705, -9.779715, -0.003456, 0.001630, -0.003620, -90.037155, 238.559601, 818.122742, 34.136307
1763769913.405187, 0.123152, 0.026336, -9.783157, -0.003021, 0.000846, -0.002523, -90.066895, 238.846161, 818.158936, 34.136307
1763769913.415163, 0.125247, 0.016161, -9.777171, -0.002420, 0.001749, -0.002285, -90.194824, 238.681061, 818.064087, 34.136307
1763769913.425170, 0.115371, 0.024391, -9.774927, -0.002263, 0.001773, -0.003081, -90.013382, 238.650116, 818.250977, 34.136307
1763769913.434823, 0.116717, 0.020051, -9.781960, -0.001998, 0.002848, -0.000379, -90.191498, 238.678711, 818.217529, 34.136307
1763769913.445180, 0.127042, 0.009278, -9.766397, -0.003428, 0.002623, -0.002654, -90.165955, 238.512161, 818.300720, 34.136307
1763769913.455186, 0.115071, 0.003741, -9.770138, -0.002275, 0.002830, -0.001325, -90.070877, 238.682419, 818.298096, 34.136307
1763769913.465171, 0.131382, 0.017508, -9.790190, -0.003419, 0.003392, -0.001498, -90.159729, 238.705826, 818.252197, 34.136307
1763769913.475181, 0.131083, 0.018555, -9.770438, -0.002946, 0.003925, -0.000827, -90.188248, 238.842224, 818.246033, 34.136307
1763769913.484848, 0.118513, 0.013916, -9.790190, -0.001789, 0.004777, -0.001908, -89.974655, 238.618591, 818.423645, 34.136307
1763769913.495174, 0.126294, 0.016161, -9.776423, -0.002226, 0.003328, -0.000679, -90.242538, 238.623734, 818.261841, 34.136307
1763769913.505174, 0.137068, 0.019004, -9.773580, -0.003401, 0.002885, -0.002481, -90.070801, 238.613388, 818.082520, 34.136307
1763769913.515169, 0.141258, 0.018854, -9.770288, -0.003411, 0.003625, -0.002646, -90.198242, 238.677338, 818.073425, 34.136307
1763769913.525177, 0.118663, 0.020650, -9.776722, -0.003242, 0.001996, -0.002214, -90.314682, 238.760162, 818.207031, 34.136307
1763769913.534858, 0.133028, 0.010325, -9.778219, -0.001797, 0.002248, -0.002172, -89.982254, 238.802139, 818.065247, 34.136307
1763769913.545182, 0.126144, 0.015413, -9.765799, -0.002514, 0.001714, -0.003195, -90.128571, 238.734344, 817.971924, 34.136307
