SamplingTime, AccelerationX, AccelerationY, AccelerationZ, GyroX, GyroY, GyroZ, MagneticFieldX, MagneticFieldY, MagneticFieldZ, Latitude
1763770748.866936, 0.026187, 0.029928, -9.811738, -0.011571, 0.002086, -0.001875, -87.760818, 238.830322, 818.309631, 
1763770748.876551, 0.028880, 0.043395, -9.764602, -0.008450, 0.001741, -0.003590, -87.632172, 238.723160, 818.287048, 
1763770748.886659, 0.042946, 0.054618, -9.780314, -0.009825, -0.001097, -0.002952, -87.916550, 238.936310, 818.316345, 
1763770748.896324, 0.032471, 0.065841, -9.784653, -0.007652, -0.000892, -0.002810, -87.953339, 239.205643, 818.096008, 
1763770748.906211, 0.025588, 0.060753, -9.778069, -0.008503, -0.002157, -0.003738, -87.767746, 238.990189, 818.209351, 
1763770748.916095, 0.024541, 0.065990, -9.786599, -0.006351, -0.002903, -0.002861, -87.779800, 238.887756, 818.176147, 
1763770748.926956, 0.018405, 0.061950, -9.790639, -0.003701, -0.003385, -0.003592, -87.743668, 238.732040, 818.218750, 34.136306
1763770748.936684, 0.012570, 0.061202, -9.786299, -0.002104, -0.003083, -0.003705, -87.631668, 238.804138, 818.208191, 34.136306
1763770748.946956, -0.005237, 0.072724, -9.776124, -0.001274, -0.002910, -0.003504, -87.711243, 238.692413, 818.213318, 34.136306
1763770748.956952, -0.006285, 0.064195, -9.773730, 0.001579, -0.000654, -0.003558, -87.814926, 238.733109, 818.171997, 34.136306
1763770748.966976, 0.006734, 0.060603, -9.766098, 0.000756, -0.002668, -0.004722, -87.597748, 238.561539, 818.084045, 34.136306
1763770748.976977, -0.001796, 0.054767, -9.768642, 0.001074, -0.000052, -0.003595, -87.934357, 238.846558, 818.236694, 34.136306
1763770748.986698, -0.010026, 0.040851, -9.774628, -0.002584, 0.002742, -0.002920, -87.758545, 238.689865, 818.117798, 34.136306
1763770748.996951, -0.010325, 0.043545, -9.766248, -0.000411, 0.004358, -0.002802, -87.736938, 238.678009, 818.117737, 34.136306
1763770749.006951, -0.010624, 0.040402, -9.767445, -0.003167, 0.006063, -0.002266, -87.683929, 238.659332, 818.287598, 34.136306
1763770749.016990, 0.006584, 0.035464, -9.783456, -0.001613, 0.007362, -0.003110, -87.742615, 238.672272, 818.171448, 34.136306
1763770749.026966, 0.000898, 0.044891, -9.769989, -0.003111, 0.007428, -0.003696, -87.709045, 238.617798, 818.206787, 34.136306
1763770749.036708, 0.003442, 0.048483, -9.761759, -0.004710, 0.009579, -0.004237, -87.710190, 238.573486, 818.228455, 34.136306
1763770749.046970, 0.006734, 0.045041, -9.764153, -0.005658, 0.008161, -0.004028, -87.545349, 238.541946, 818.023804, 34.136306
1763770749.056966, 0.022745, 0.043245, -9.763854, -0.004473, 0.007592, -0.002098, -87.664429, 238.506165, 818.120728, 34.136306
1763770749.066941, 0.010175, 0.042347, -9.784504, -0.004785, 0.006228, -0.001469, -87.856094, 238.673492, 818.003662, 34.136306
1763770749.076949, 0.025738, 0.055815, -9.783307, -0.003876, 0.005976, -0.003255, -87.508881, 238.742493, 818.083435, 34.136306
1763770749.086690, 0.012869, 0.042796, -9.765799, -0.003741, 0.004614, -0.001763, -87.569778, 238.792770, 818.230591, 34.136306
1763770749.096934, 0.019303, 0.071527, -9.783456, -0.002553, 0.003217, -0.002038, -87.597000, 238.564346, 818.118774, 34.136306
1763770749.106944, 0.021099, 0.055665, -9.781212, -0.002392, 0.002102, -0.001235, -87.688858, 238.482666, 818.159302, 34.136306
1763770749.116961, 0.029329, 0.055665, -9.788544, -0.000254, 0.001243, -0.001366, -87.740356, 238.665878, 818.198303, 34.136306
1763770749.126954, 0.013767, 0.062249, -9.786150, -0.001775, 0.000044, -0.000029, -87.564590, 238.744064, 818.020569, 34.136306
1763770749.136700, 0.019603, 0.054767, -9.788394, -0.001776, -0.000267, -0.001227, -87.593170, 238.707550, 818.099915, 34.136306
1763770749.146935, 0.006734, 0.044293, -9.784504, -0.003084, -0.001846, -0.000618, -87.741211, 238.479263, 818.117310, 34.136306
1763770749.156939, 0.010774, 0.050578, -9.784803, -0.002762, -0.000240, -0.000786, -87.715805, 238.591202, 818.306458, 34.136306
1763770749.166934, 0.011522, 0.050578, -9.776423, -0.002427, -0.000737, -0.001071, -87.547745, 238.661133, 818.100281, 34.136306
1763770749.176935, 0.018854, 0.039055, -9.771186, -0.003323, 0.000268, -0.001525, -87.641235, 238.973175, 817.993042, 34.136306
1763770749.186703, 0.005237, 0.040402, -9.774478, -0.004200, -0.000124, -0.001332, -87.884155, 238.806931, 818.265869, 34.136306
1763770749.196959, 0.005686, 0.036960, -9.790040, -0.003275, 0.000692, -0.001913, -87.861389, 238.835724, 818.272827, 34.136306
1763770749.206946, 0.001047, 0.049081, -9.780015, -0.003965, 0.001961, -0.001447, -87.688995, 238.715302, 818.114258, 34.136306
1763770749.216930, 0.000599, 0.043545, -9.780763, -0.003986, 0.002810, -0.002186, -87.718323, 238.737854, 818.223450, 34.136306
1763770749.226932, 0.012121, 0.046687, -9.776423, -0.004160, 0.004618, -0.001766, -87.655182, 238.821838, 818.103882, 34.136306
1763770749.236703, -0.014216, 0.055366, -9.777171, -0.004451, 0.004486, -0.002329, -87.858078, 238.636673, 818.021118, 34.136306
1763770749.246930, 0.016610, 0.057610, -9.788993, -0.003447, 0.005286, -0.002343, -87.754623, 238.693619, 818.190796, 34.136306
1763770749.256938, 0.018854, 0.051924, -9.784055, -0.002652, 0.006196, -0.002739, -87.804169, 238.499573, 818.078613, 34.136306
1763770749.266931, 0.014664, 0.051026, -9.780015, -0.002888, 0.003994, -0.002590, -87.854370, 238.614853, 818.086060, 34.136306
1763770749.276932, 0.025588, 0.054468, -9.771934, -0.001799, 0.003830, -0.001116, -87.992279, 238.879654, 817.965759, 34.136306
1763770749.286717, 0.007482, 0.057162, -9.782558, -0.001952, 0.004772, -0.001846, -87.630692, 238.575546, 818.309082, 34.136306
1763770749.296931, 0.006584, 0.054169, -9.769839, -0.002143, 0.004757, -0.003676, -87.690140, 238.701019, 818.174561, 34.136306
1763770749.306936, 0.017657, 0.049231, -9.789442, -0.001120, 0.004273, -0.003598, -87.756012, 238.714615, 818.022644, 34.136306
1763770749.316929, 0.013318, 0.045490, -9.779566, -0.001296, 0.002553, -0.004110, -87.629852, 238.667725, 818.000122, 34.136306
1763770749.326214, 0.011073, 0.045191, -9.784055, -0.002353, 0.003130, -0.003620, -87.901749, 238.696609, 818.316589, 34.136306
1763770749.336726, 0.023942, 0.055067, -9.791237, -0.003986, 0.002051, -0.004167, -87.857880, 238.795517, 818.175049, 34.136306
