SamplingTime, AccelerationX, AccelerationY, AccelerationZ, GyroX, GyroY, GyroZ, MagneticFieldX, MagneticFieldY, MagneticFieldZ, Latitude
1763771583.465074, 0.158466, 0.039205, -9.767744, -0.006475, 0.004015, -0.002484, -87.246109, 238.271774, 818.333313, 
1763771583.475482, 0.152780, 0.040552, -9.772682, -0.006249, 0.004967, -0.003446, -87.136719, 238.468155, 818.342163, 
1763771583.485048, 0.156820, 0.040552, -9.771485, -0.006384, 0.003774, -0.001462, -87.093109, 238.441605, 818.390930, 34.136306
1763771583.495503, 0.158466, 0.059107, -9.774328, -0.006576, 0.003630, -0.001142, -87.102768, 238.438385, 818.457214, 34.136306
1763771583.505503, 0.178967, 0.066439, -9.781062, -0.003816, 0.002446, -0.002139, -87.423416, 238.500015, 818.445435, 34.136306
1763771583.515088, 0.158765, 0.072874, -9.778817, -0.002795, 0.001461, -0.002756, -87.303818, 238.331619, 818.382019, 34.136306
1763771583.525518, 0.164152, 0.058808, -9.775974, -0.002483, 0.002031, -0.003824, -87.251801, 238.346207, 818.442566, 34.136306
1763771583.535065, 0.159214, 0.061651, -9.770587, -0.002782, 0.000525, -0.003141, -87.279251, 238.469406, 818.473999, 34.136306
1763771583.545496, 0.164152, 0.054019, -9.783606, -0.002135, 0.002549, -0.002608, -87.185257, 238.294861, 818.762695, 34.136306
1763771583.555488, 0.155174, 0.059406, -9.788544, -0.000518, 0.001195, -0.001871, -87.319427, 238.385422, 818.314087, 34.136306
1763771583.565081, 0.136170, 0.050278, -9.782708, -0.000032, 0.001873, -0.002924, -87.381989, 238.397202, 818.678101, 34.136306
1763771583.575490, 0.153827, 0.046986, -9.790489, -0.002041, 0.002051, -0.003058, -87.135361, 238.389740, 818.587097, 34.136306
1763771583.585066, 0.134375, 0.045340, -9.767744, -0.002341, 0.003315, -0.002583, -87.270416, 238.375916, 818.613892, 34.136306
1763771583.595484, 0.145148, 0.048931, -9.774328, -0.003250, 0.005168, -0.002308, -87.137863, 238.581284, 818.500977, 34.136306
1763771583.605493, 0.163554, 0.038906, -9.783157, -0.004022, 0.004633, -0.002482, -87.046219, 238.566391, 818.664673, 34.136306
1763771583.615092, 0.143502, 0.046837, -9.784354, -0.003566, 0.004587, -0.002530, -87.266586, 238.447601, 818.488770, 34.136306
1763771583.625489, 0.153827, 0.038307, -9.782708, -0.002488, 0.003936, -0.002691, -87.087860, 238.461380, 818.432922, 34.136306
1763771583.635073, 0.161160, 0.048183, -9.762058, -0.005870, 0.004086, -0.001710, -87.261078, 238.563217, 818.482483, 34.136306
1763771583.645503, 0.160412, 0.052224, -9.772982, -0.004645, 0.004691, -0.002027, -87.104111, 238.532761, 818.523499, 34.136306
1763771583.655486, 0.153379, 0.053121, -9.773430, -0.005347, 0.003278, -0.002635, -87.187943, 238.625275, 818.534241, 34.136306
1763771583.665101, 0.162955, 0.053121, -9.781062, -0.003113, 0.001403, -0.002639, -87.168320, 238.466476, 818.538757, 34.136306
1763771583.675477, 0.153079, 0.044293, -9.771036, -0.003258, 0.002676, -0.003611, -87.227234, 238.780396, 818.435059, 34.136306
1763771583.685066, 0.161010, 0.052822, -9.783157, -0.002895, 0.002710, -0.001862, -87.055725, 238.380676, 818.286682, 34.136306
1763771583.695475, 0.164003, 0.062399, -9.776722, -0.000992, 0.001579, -0.002251, -87.265808, 238.562973, 818.443542, 34.136306
1763771583.705478, 0.165050, 0.059256, -9.771784, -0.000859, 0.001217, -0.003189, -87.348633, 238.376328, 818.422058, 34.136306
1763771583.715081, 0.147543, 0.054019, -9.778817, -0.002520, 0.001280, -0.001388, -87.353424, 238.306183, 818.496826, 34.136306
1763771583.725479, 0.151583, 0.045789, -9.780314, -0.003342, 0.001307, -0.002117, -87.258484, 238.595795, 818.630920, 34.136306
1763771583.735074, 0.154725, 0.046088, -9.775525, -0.003258, 0.002151, -0.001292, -87.271683, 238.385986, 818.418030, 34.136306
