SamplingTime, AccelerationX, AccelerationY, AccelerationZ, GyroX, GyroY, GyroZ, MagneticFieldX, MagneticFieldY, MagneticFieldZ, Latitude
1763784487.596959, 0.089334, -0.055067, -9.804705, -0.013119, 0.004378, -0.002956, -94.514175, 236.754807, 816.663574, 
1763784487.606830, 0.107440, -0.043694, -9.780912, -0.009387, 0.002614, -0.002687, -94.613235, 236.774094, 816.704285, 
1763784487.616716, 0.106392, -0.035165, -9.793183, -0.009748, 0.001080, -0.002259, -94.647690, 236.707306, 816.483215, 
1763784487.626604, 0.098910, -0.020500, -9.781361, -0.006972, 0.001473, -0.002488, -94.843445, 236.789352, 816.585754, 
1763784487.637581, 0.097414, -0.019004, -9.794529, -0.006741, -0.001974, -0.002023, -94.808044, 236.852341, 816.620544, 
1763784487.647578, 0.101454, -0.018405, -9.796175, -0.003343, -0.001931, -0.003256, -94.628967, 236.797256, 816.549988, 
1763784487.657606, 0.085742, -0.027683, -9.786150, -0.002221, -0.002868, -0.002294, -94.639206, 236.701950, 816.424377, 34.136307
1763784487.667602, 0.087388, -0.039205, -9.779416, 0.000129, -0.002579, -0.002815, -94.474121, 236.754929, 816.431396, 34.136307
1763784487.677305, 0.076914, -0.041899, -9.775226, 0.001136, -0.002831, -0.001873, -94.564362, 236.735413, 816.602295, 34.136307
1763784487.687603, 0.070330, -0.049380, -9.785102, 0.000561, -0.001054, -0.004378, -94.812363, 236.733215, 816.624878, 34.136307
1763784487.697601, 0.066738, -0.050727, -9.783307, 0.000650, 0.000765, -0.003936, -94.639313, 236.641953, 816.482422, 34.136307
1763784487.707603, 0.058209, -0.052373, -9.772533, 0.001247, 0.003039, -0.000628, -94.599289, 236.677109, 816.777222, 34.136307
1763784487.717600, 0.077812, -0.061351, -9.784204, -0.001143, 0.005427, -0.002462, -94.545792, 236.667206, 816.382446, 34.136307
1763784487.727147, 0.060304, -0.071826, -9.787347, -0.001437, 0.005133, -0.001912, -94.554565, 236.636185, 816.578003, 34.136307
1763784487.737027, 0.066738, -0.060005, -9.785551, -0.001699, 0.005284, -0.001960, -94.619110, 236.602036, 816.686340, 34.136307
1763784487.747615, 0.073622, -0.053121, -9.774029, -0.003808, 0.007159, -0.002329, -94.725235, 236.507324, 816.587646, 34.136307
