SamplingTime, AccelerationX, AccelerationY, AccelerationZ, GyroX, GyroY, GyroZ, MagneticFieldX, MagneticFieldY, MagneticFieldZ, Latitude
1763770046.180081, 0.079757, 0.077063, -9.786150, -0.012351, -0.002822, -0.002730, -89.113632, 238.803696, 818.077698, 34.136307
1763770046.190963, 0.063596, 0.088735, -9.786748, -0.009048, -0.005129, -0.002183, -88.993027, 238.598190, 818.340454, 34.136307
1763770046.201000, 0.067187, 0.094571, -9.774478, -0.007168, -0.006191, -0.001984, -89.190186, 238.856354, 818.142700, 34.136307
1763770046.211012, 0.059107, 0.085443, -9.776274, -0.005113, -0.004158, -0.002192, -89.271286, 238.745911, 818.045471, 34.136307
1763770046.220998, 0.059107, 0.085443, -9.776274, -0.001184, -0.004757, -0.002474, -88.769104, 238.788544, 818.003845, 34.136307
1763770046.230075, 0.053570, 0.084545, -9.777471, -0.000371, -0.003438, -0.002785, -89.130386, 238.830856, 817.987305, 34.136307
1763770046.240992, 0.029928, 0.065841, -9.768343, 0.003103, -0.002848, -0.000247, -89.089096, 238.873154, 818.297058, 34.136307
1763770046.250979, 0.021548, 0.062100, -9.782109, 0.004565, -0.000297, -0.003755, -88.921707, 238.639954, 818.057983, 34.136307
1763770046.260433, 0.021548, 0.062100, -9.782109, 0.004786, 0.003529, -0.000641, -88.872070, 238.437057, 818.058472, 34.136307
1763770046.270237, 0.021997, 0.067636, -9.766098, 0.004004, 0.005987, -0.001192, -89.110352, 238.501572, 818.321289, 34.136307
1763770046.280097, 0.024690, 0.048782, -9.779865, 0.005622, 0.007259, -0.001827, -89.113144, 238.934174, 818.264160, 34.136307
1763770046.290986, 0.037409, 0.046687, -9.779715, 0.004400, 0.009412, -0.002338, -89.121048, 238.493011, 818.285583, 34.136307
1763770046.300997, 0.044592, 0.045639, -9.769540, 0.003081, 0.009448, -0.001639, -89.050507, 238.870087, 818.236938, 34.136307
1763770046.310984, 0.055516, 0.053121, -9.777022, 0.000623, 0.010069, 0.000072, -89.030960, 238.684784, 818.134766, 34.136307
1763770046.320981, 0.047285, 0.036362, -9.767894, -0.000426, 0.009962, -0.001410, -88.916275, 238.556213, 818.302612, 34.136307
1763770046.330068, 0.047285, 0.036362, -9.767894, -0.003535, 0.008584, -0.003679, -89.019485, 238.834747, 818.219910, 34.136307
1763770046.340995, 0.080056, 0.048782, -9.777471, -0.003279, 0.007177, -0.002711, -88.955048, 238.609634, 818.124573, 34.136307
1763770046.350992, 0.075118, 0.038008, -9.772383, -0.005821, 0.006360, -0.003111, -88.936996, 238.433990, 818.249084, 34.136307
1763770046.360983, 0.083348, 0.052972, -9.789142, -0.006083, 0.002715, -0.002318, -89.022629, 238.840042, 818.168213, 34.136307
1763770046.370981, 0.086939, 0.047435, -9.775825, -0.006143, 0.002478, -0.001651, -89.022095, 238.835480, 818.312988, 34.136307
1763770046.380057, 0.086939, 0.047435, -9.775825, -0.007881, -0.000805, -0.001288, -88.858780, 238.617142, 818.055359, 34.136307
1763770046.390994, 0.055516, 0.061950, -9.777022, -0.006788, -0.001365, -0.002595, -88.815140, 238.728287, 818.043396, 34.136307
1763770046.400981, 0.062399, 0.054767, -9.785551, -0.006772, -0.003528, -0.002352, -88.809677, 238.557831, 818.050171, 34.136307
1763770046.410984, 0.039654, 0.058209, -9.777620, -0.006189, -0.003336, -0.001062, -88.762451, 238.559311, 817.942017, 34.136307
1763770046.420980, 0.039504, 0.062997, -9.782109, -0.004960, -0.002855, -0.002747, -88.886749, 238.839203, 818.029968, 34.136307
1763770046.430073, 0.037409, 0.079607, -9.785551, -0.005427, -0.003181, -0.002139, -88.878693, 238.875198, 818.050171, 34.136307
1763770046.440981, 0.032172, 0.070629, -9.782259, -0.003892, -0.001085, -0.003214, -88.797333, 238.872238, 817.980103, 34.136307
1763770046.450990, 0.021099, 0.062997, -9.782858, -0.003354, -0.000174, -0.002826, -88.802841, 238.962601, 817.776978, 34.136307
1763770046.460980, 0.025887, 0.058957, -9.776124, -0.002305, 0.002387, -0.003543, -88.869751, 238.706772, 818.031982, 34.136307
1763770046.470980, 0.034117, 0.060154, -9.781361, -0.000799, 0.003321, -0.002974, -88.929459, 238.874176, 817.980408, 34.136307
1763770046.480065, 0.023643, 0.068983, -9.773730, 0.000015, 0.004769, -0.004137, -89.011276, 238.526001, 817.970215, 34.136307
1763770046.490991, 0.036512, 0.059406, -9.783606, -0.000354, 0.008234, -0.003286, -88.769302, 238.460938, 818.050049, 34.136307
1763770046.500979, 0.041899, 0.066589, -9.764153, -0.000520, 0.006928, -0.002204, -88.851990, 238.807770, 817.983887, 34.136307
1763770046.510992, 0.048333, 0.049081, -9.774179, -0.001723, 0.007139, -0.002683, -88.962326, 238.503326, 818.078857, 34.136307
1763770046.520980, 0.049081, 0.053570, -9.769989, -0.002006, 0.007295, -0.002330, -88.764618, 238.567093, 817.932068, 34.136307
1763770046.530064, 0.056413, 0.058957, -9.787047, -0.000582, 0.007187, -0.004129, -88.856827, 238.643814, 817.967041, 34.136307
1763770046.540987, 0.062549, 0.050278, -9.779865, 0.000962, 0.005657, -0.001652, -88.938004, 239.011414, 818.055847, 34.136307
1763770046.550980, 0.066888, 0.056413, -9.772682, -0.001396, 0.004913, -0.002147, -89.027588, 238.559555, 817.976135, 34.136307
1763770046.560991, 0.054767, 0.046088, -9.785850, 0.000107, 0.004347, -0.000931, -88.873383, 238.740387, 817.961060, 34.136307
1763770046.570975, 0.055366, 0.053570, -9.777321, -0.001007, 0.003559, -0.004162, -88.937515, 238.657593, 817.852661, 34.136307
1763770046.580054, 0.055067, 0.063446, -9.773131, -0.001685, 0.001168, -0.002827, -89.096375, 238.697693, 817.946472, 34.136307
1763770046.590980, 0.061501, 0.052523, -9.782259, -0.004181, 0.001161, -0.003119, -88.893097, 238.520599, 817.864868, 34.136307
1763770046.600976, 0.057461, 0.055665, -9.795278, -0.003779, -0.000961, -0.001770, -89.020905, 238.669006, 817.948547, 34.136307
1763770046.610982, 0.049231, 0.063147, -9.783755, -0.004058, 0.000496, -0.003374, -88.844254, 238.696594, 817.963989, 34.136307
1763770046.620988, 0.053421, 0.049979, -9.769540, -0.004387, -0.001155, -0.002013, -89.075699, 238.505554, 818.056030, 34.136307
1763770046.630065, 0.060304, 0.054767, -9.774927, -0.004959, 0.001022, -0.003449, -88.963394, 238.854614, 818.060181, 34.136307
1763770046.640982, 0.046537, 0.068833, -9.781361, -0.004013, 0.000850, -0.002138, -88.781448, 238.970917, 818.045227, 34.136307
1763770046.650979, 0.041001, 0.062997, -9.779715, -0.005198, 0.000629, -0.001972, -88.941696, 238.696136, 818.007446, 34.136307
1763770046.660975, 0.050727, 0.078260, -9.781062, -0.004300, 0.002192, -0.001769, -88.922852, 238.808762, 817.991638, 34.136307
1763770046.670976, 0.037260, 0.061351, -9.782858, -0.003932, 0.001875, -0.002623, -88.800659, 238.842987, 818.051758, 34.136307
1763770046.680067, 0.045041, 0.061800, -9.775675, -0.003492, 0.003718, 0.000228, -88.917770, 238.844177, 817.867310, 34.136307
1763770046.690006, 0.049680, 0.072125, -9.794230, -0.002239, 0.003798, -0.003896, -88.738098, 238.818237, 817.885254, 34.136307
1763770046.700988, 0.050727, 0.059107, -9.782409, -0.001778, 0.003591, -0.002703, -88.999817, 238.906326, 817.803345, 34.136307
1763770046.710976, 0.053870, 0.068983, -9.784953, -0.002907, 0.004570, -0.002215, -88.837463, 238.868759, 817.999268, 34.136307
1763770046.720976, 0.065990, 0.057461, -9.779266, -0.002591, 0.004357, -0.001205, -88.850266, 238.934280, 817.985046, 34.136307
1763770046.730049, 0.054169, 0.055964, -9.779566, -0.000725, 0.004302, -0.001396, -89.082077, 238.558609, 817.790894, 34.136307
1763770046.740986, 0.051026, 0.062848, -9.778518, 0.000103, 0.004176, -0.002454, -89.129761, 238.922180, 817.898071, 34.136307
1763770046.750978, 0.055665, 0.068983, -9.768792, -0.001768, 0.003296, -0.003181, -89.138184, 239.253815, 818.187500, 34.136307
1763770046.760209, 0.061651, 0.043395, -9.780613, -0.001768, 0.003296, -0.003181, -89.119797, 238.674774, 818.076904, 34.136307
1763770046.770974, 0.062100, 0.059406, -9.789741, -0.002162, 0.002592, -0.002757, -89.179794, 238.822617, 818.029968, 34.136307
1763770046.780059, 0.065092, 0.042946, -9.778967, -0.002162, 0.002592, -0.002757, -89.183289, 238.837448, 817.989990, 34.136307
1763770046.790981, 0.060005, 0.059705, -9.785701, -0.002927, 0.001501, -0.003060, -89.208069, 238.880966, 818.152100, 34.136307
1763770046.800974, 0.054019, 0.052523, -9.785401, -0.003122, 0.002416, -0.001717, -89.245789, 238.742844, 818.047485, 34.136307
1763770046.810974, 0.040851, 0.055815, -9.767445, -0.002300, 0.003184, -0.002357, -89.290207, 238.761551, 818.027344, 34.136307
1763770046.820974, 0.049380, 0.067636, -9.781062, -0.003455, 0.001059, -0.001969, -89.099243, 238.734131, 817.957886, 34.136307
1763770046.830060, 0.054318, 0.064494, -9.779865, -0.003455, 0.001059, -0.001969, -89.258179, 238.749451, 818.142090, 34.136307
1763770046.840975, 0.058209, 0.061501, -9.780463, -0.005429, 0.001903, -0.002028, -89.123810, 238.584274, 818.002075, 34.136307
1763770046.850972, 0.030077, 0.048782, -9.787945, -0.003496, 0.001838, -0.003331, -89.038742, 238.563004, 818.001587, 34.136307
1763770046.860974, 0.054917, 0.064494, -9.789292, -0.004650, 0.002659, -0.002983, -89.178955, 238.778366, 818.236938, 34.136307
1763770046.870978, 0.048333, 0.058957, -9.782558, -0.003510, 0.002561, -0.001171, -89.162308, 238.619919, 818.086060, 34.136307
1763770046.880047, 0.056563, 0.058209, -9.781960, -0.003510, 0.002561, -0.001171, -88.827332, 238.592255, 817.976440, 34.136307
1763770046.890986, 0.065242, 0.056413, -9.780613, -0.003752, 0.004281, -0.003729, -88.828888, 238.561142, 817.926880, 34.136307
1763770046.900974, 0.053121, 0.051026, -9.780463, -0.003549, 0.003433, -0.002541, -88.959641, 238.692169, 818.069824, 34.136307
1763770046.910974, 0.055815, 0.058209, -9.770737, -0.002891, 0.002253, -0.003907, -88.820221, 238.718170, 817.847778, 34.136307
1763770046.920972, 0.060753, 0.068384, -9.773879, -0.001265, 0.002738, -0.003192, -88.956207, 238.443512, 817.841553, 34.136307
1763770046.930063, 0.062249, 0.063147, -9.781810, -0.002165, 0.003437, -0.002486, -88.861618, 238.582779, 818.049438, 34.136307
1763770046.940973, 0.058359, 0.075417, -9.769989, -0.002437, 0.003771, -0.003254, -88.855347, 238.807632, 817.955261, 34.136307
1763770046.950971, 0.053121, 0.066589, -9.783456, -0.001236, 0.001493, -0.002323, -88.873215, 238.938370, 817.958374, 34.136307
1763770046.960982, 0.055815, 0.054767, -9.762806, -0.000908, 0.002916, -0.003212, -88.995148, 238.616074, 818.120850, 34.136307
1763770046.970972, 0.047285, 0.060903, -9.783307, -0.001754, 0.003241, -0.003199, -88.990494, 238.828018, 818.056824, 34.136307
1763770046.980054, 0.053121, 0.057760, -9.773430, -0.002713, 0.003340, -0.002331, -89.128799, 238.868011, 818.172058, 34.136307
1763770046.990972, 0.051326, 0.063895, -9.780613, -0.000797, 0.002784, -0.002731, -88.842941, 238.862350, 818.055298, 34.136307
1763770047.000971, 0.060903, 0.072574, -9.778368, -0.003089, 0.003498, -0.002805, -88.742386, 239.046997, 817.923767, 34.136307
1763770047.010971, 0.062100, 0.056862, -9.772233, -0.002119, 0.003054, -0.002725, -88.699203, 238.982544, 817.968262, 34.136307
1763770047.020970, 0.054318, 0.056264, -9.778219, -0.002153, 0.003548, -0.002430, -88.743866, 239.187241, 817.969666, 34.136307
1763770047.030051, 0.048483, 0.053570, -9.776573, -0.003408, 0.002669, -0.001818, -88.830353, 239.119034, 818.190186, 34.136307
1763770047.040970, 0.059855, 0.066738, -9.780613, -0.003449, 0.003224, -0.001192, -88.782181, 238.720703, 818.162720, 34.136307
1763770047.050980, 0.063147, 0.057162, -9.783606, -0.005300, 0.002615, -0.002254, -88.829178, 238.878189, 818.040833, 34.136307
1763770047.060978, 0.048782, 0.050727, -9.774179, -0.002874, 0.002528, -0.001657, -88.880127, 239.149078, 818.101196, 34.136307
1763770047.070969, 0.065392, 0.051775, -9.781810, -0.003448, 0.002269, -0.002498, -88.828018, 238.821671, 818.037476, 34.136307
1763770047.080046, 0.055067, 0.054767, -9.777920, -0.005124, 0.002866, -0.002936, -88.778397, 239.169342, 818.017029, 34.136307
1763770047.090972, 0.055964, 0.061950, -9.781361, -0.002998, 0.002730, -0.003164, -89.019272, 238.617676, 818.195801, 34.136307
1763770047.100969, 0.051625, 0.065092, -9.776722, -0.001795, 0.003138, -0.002094, -88.914352, 239.003021, 818.143677, 34.136307
1763770047.110974, 0.053121, 0.051775, -9.777171, -0.003072, 0.002608, -0.002737, -89.048874, 238.991196, 818.161133, 34.136307
1763770047.120967, 0.062399, 0.049530, -9.784204, -0.003173, 0.001856, -0.001007, -88.932648, 238.878235, 818.043945, 34.136307
1763770047.130970, 0.048483, 0.051326, -9.776872, -0.002047, 0.002818, -0.001970, -88.805191, 238.997925, 818.162048, 34.136307
1763770047.140969, 0.046687, 0.060005, -9.772233, -0.002164, 0.003374, -0.001454, -88.608948, 238.843002, 818.342712, 34.136307
1763770047.150966, 0.054169, 0.048931, -9.798420, -0.001172, 0.003522, -0.000787, -88.864609, 238.622665, 818.333435, 34.136307
1763770047.160974, 0.045490, 0.054468, -9.790040, -0.003907, 0.001743, -0.001978, -88.900024, 238.817169, 818.402100, 34.136307
1763770047.170966, 0.051475, 0.060154, -9.771784, -0.002994, 0.004311, -0.002646, -88.859329, 238.843353, 818.085083, 34.136307
1763770047.180045, 0.054767, 0.061501, -9.779416, -0.001564, 0.002956, -0.003000, -88.738159, 238.993973, 817.996948, 34.136307
1763770047.190978, 0.048183, 0.057461, -9.772982, -0.001957, 0.002941, -0.002610, -88.696579, 238.617096, 818.185852, 34.136307
1763770047.200313, 0.048782, 0.055216, -9.772084, -0.002384, 0.003743, -0.002823, -88.784424, 238.781296, 818.168945, 34.136307
1763770047.210987, 0.052523, 0.060154, -9.779865, -0.002462, 0.003441, -0.002765, -88.830048, 239.062408, 818.359741, 34.136307
1763770047.220966, 0.046088, 0.052373, -9.779715, -0.003873, 0.004154, -0.002125, -88.919357, 238.932495, 817.905396, 34.136307
1763770047.230052, 0.046687, 0.058957, -9.786000, -0.001001, 0.001952, -0.003262, -88.880173, 238.898590, 818.015076, 34.136307
1763770047.240977, 0.048483, 0.049530, -9.778069, -0.002298, 0.004300, -0.002291, -88.845886, 238.870773, 818.024841, 34.136307
1763770047.250981, 0.046537, 0.061950, -9.775226, -0.002137, 0.002944, -0.004331, -88.970200, 238.930756, 818.220459, 34.136307
1763770047.260966, 0.052972, 0.055216, -9.767894, -0.004357, 0.003202, -0.001834, -88.991928, 238.695740, 818.198181, 34.136307
1763770047.270953, 0.050278, 0.052224, -9.778518, -0.003189, 0.002536, -0.002821, -89.094482, 238.899979, 818.152710, 34.136307
1763770047.280046, 0.055665, 0.043694, -9.772383, -0.002678, 0.002152, -0.001925, -89.000641, 238.836441, 818.094971, 34.136307
