SamplingTime, AccelerationX, AccelerationY, AccelerationZ, GyroX, GyroY, GyroZ
1763763601.342369, -0.046986, 0.014066, -9.746196, -0.000338, 0.002418, -0.001941
1763763601.352367, -0.038307, 0.023792, -9.749040, -0.006024, 0.002428, -0.003316
1763763601.361996, -0.032322, 0.026187, -9.804854, -0.001444, 0.003295, -0.002632
1763763601.372333, -0.028581, 0.013767, -9.783755, -0.005145, 0.003374, -0.001712
1763763601.382378, -0.062249, 0.031125, -9.759514, -0.004160, 0.002951, -0.002816
1763763601.392387, -0.049680, 0.030376, -9.751284, -0.005809, 0.003063, -0.000001
1763763601.402380, -0.035763, 0.021997, -9.804555, -0.005327, 0.002834, -0.002445
1763763601.411981, -0.051775, 0.037110, -9.810391, -0.004801, 0.004030, -0.001153
1763763601.422383, -0.038607, 0.027234, -9.759813, -0.003442, 0.004285, -0.002505
1763763601.432388, -0.041001, 0.035614, -9.787197, -0.004203, 0.002510, -0.002901
1763763601.442388, -0.033070, 0.028880, -9.796325, -0.002071, 0.003908, -0.000938
1763763601.452382, -0.043096, 0.035763, -9.750536, -0.003213, 0.002502, -0.001851
1763763601.461992, -0.040402, 0.035464, -9.793183, -0.002932, 0.002875, -0.002597
1763763601.472385, -0.039055, 0.034267, -9.790190, -0.003090, 0.003820, -0.002725
1763763601.482378, -0.047585, 0.024690, -9.757868, -0.001242, 0.002096, -0.002092
1763763601.492392, -0.036512, 0.030676, -9.769091, -0.002274, 0.002405, -0.001452
1763763601.502383, -0.031424, 0.023194, -9.813384, -0.003534, 0.003350, -0.002513
1763763601.512000, -0.043844, 0.012719, -9.777620, -0.001600, 0.002573, -0.001547
1763763601.522382, -0.046837, 0.017059, -9.778817, -0.004942, 0.002706, -0.002449
1763763601.532379, -0.057910, 0.019004, -9.788693, -0.002433, 0.003099, -0.003147
1763763601.542382, -0.029479, 0.024092, -9.779416, -0.002876, 0.002358, -0.000992
1763763601.552263, -0.038906, 0.025887, -9.778668, -0.004417, 0.002665, -0.002773
1763763601.562008, -0.036661, 0.027084, -9.737368, -0.002307, 0.003160, -0.000424
1763763601.572430, -0.043395, 0.022446, -9.815928, -0.004951, 0.003401, -0.003557
1763763601.582393, -0.033668, 0.024092, -9.764003, -0.002631, 0.003682, -0.003678
1763763601.592386, -0.054169, 0.040851, -9.755474, -0.002691, 0.000632, -0.001700
1763763601.602393, -0.041749, 0.025887, -9.792584, -0.001862, 0.003373, -0.001933
1763763601.612020, -0.047585, 0.034267, -9.804555, -0.004165, 0.003428, -0.002173
1763763601.622377, -0.028282, 0.028880, -9.757868, -0.001433, 0.003911, -0.002736
1763763601.632385, -0.050727, 0.043096, -9.746795, -0.001466, 0.003771, -0.002731
1763763601.642016, -0.033668, 0.028431, -9.822212, -0.002026, 0.002153, -0.002157
1763763601.652393, -0.027533, 0.024690, -9.775525, -0.003506, 0.003281, -0.002210
1763763601.662017, -0.055964, 0.031424, -9.769989, -0.004545, 0.002420, -0.001001
1763763601.672474, -0.039055, 0.009577, -9.779416, -0.002320, 0.003657, -0.002822
1763763601.682385, -0.048782, 0.019453, -9.811738, -0.004108, 0.002932, -0.002913
1763763601.691940, -0.045490, 0.022745, -9.774478, -0.002889, 0.003582, -0.003721
