SamplingTime, AccelerationX, AccelerationY, AccelerationZ, GyroX, GyroY, GyroZ, MagneticFieldX, MagneticFieldY, MagneticFieldZ, Latitude
1763767309.408323, 0.115520, -0.043545, -9.804705, -0.003200, 0.004257, -0.002496, -86.199890, 238.992767, 819.328003, 34.136307
1763767309.418661, 0.112079, -0.040402, -9.768193, -0.004094, 0.004633, -0.003761, -86.109100, 239.035110, 819.296875, 34.136307
1763767309.428699, 0.112827, -0.035614, -9.777321, -0.003675, 0.002667, -0.001493, -86.332336, 239.165802, 819.227600, 34.136307
1763767309.438280, 0.118214, -0.045041, -9.784653, -0.003826, 0.004592, -0.000958, -86.332336, 239.165802, 819.227600, 34.136307
1763767309.448706, 0.119710, -0.047734, -9.784504, -0.003709, 0.005317, -0.001647, -86.357727, 239.004532, 819.359314, 34.136307
1763767309.458343, 0.120159, -0.037110, -9.777770, -0.003044, 0.003734, -0.000342, -86.235977, 238.993530, 819.489197, 34.136307
1763767309.468715, 0.134375, -0.042048, -9.772084, -0.002635, 0.003368, -0.001584, -86.235977, 238.993530, 819.489197, 34.136307
1763767309.478719, 0.118214, -0.042198, -9.781361, -0.001558, 0.003035, -0.001439, -86.260971, 239.024063, 819.171936, 34.136307
1763767309.488260, 0.122254, -0.042497, -9.770587, -0.001287, 0.003296, -0.001202, -86.099670, 238.860992, 819.356934, 34.136307
1763767309.498724, 0.127791, -0.058957, -9.784653, -0.001309, 0.004109, -0.002675, -86.120499, 239.016113, 819.316650, 34.136307
1763767309.508357, 0.118064, -0.046537, -9.788843, -0.003659, 0.002864, -0.001728, -86.158005, 238.853577, 819.305359, 34.136307
1763767309.518717, 0.129287, -0.061202, -9.765500, -0.002467, 0.002471, -0.001958, -86.158005, 238.853577, 819.305359, 34.136307
1763767309.528707, 0.127042, -0.050877, -9.769241, -0.004653, 0.002863, -0.002280, -86.363373, 239.105499, 819.226196, 34.136307
1763767309.538254, 0.105794, -0.052224, -9.779715, -0.002022, 0.000818, -0.001561, -86.206146, 239.107239, 819.351196, 34.136307
