SamplingTime, AccelerationX, AccelerationY, AccelerationZ, GyroX, GyroY, GyroZ, MagneticFieldX, MagneticFieldY, MagneticFieldZ, Latitude
1763784804.380733, 0.144999, -0.003741, -9.899874, -0.005513, 0.005545, -0.002790, -95.081085, 237.885498, 816.317749, 
1763784804.390587, 0.145747, 0.027982, -9.742007, -0.009233, 0.004785, -0.000850, -94.908936, 238.030518, 816.203796, 
1763784804.401297, 0.150685, 0.019752, -9.738565, -0.011706, 0.005126, -0.003204, -94.923904, 238.095032, 816.385742, 
1763784804.411295, 0.158317, 0.024092, -9.830592, -0.007222, 0.003372, -0.002320, -95.080566, 238.083435, 816.517090, 
1763784804.421289, 0.162506, 0.049829, -9.736320, -0.008406, 0.003211, -0.003883, -94.992889, 238.040787, 816.310791, 
1763784804.431293, 0.166098, 0.048034, -9.796624, -0.004797, 0.000688, -0.003055, -95.178253, 238.198074, 816.272522, 
1763784804.441323, 0.156222, 0.046687, -9.780015, -0.002457, 0.001205, -0.001512, -95.047501, 238.171234, 816.191406, 34.136307
1763784804.451311, 0.157419, 0.049680, -9.781661, -0.001473, 0.000714, -0.003174, -94.781372, 237.832748, 816.123840, 34.136307
1763784804.461337, 0.148291, 0.050578, -9.766248, 0.001218, 0.000607, -0.003123, -94.857452, 238.278549, 816.321655, 34.136307
1763784804.471310, 0.148291, 0.050578, -9.766248, 0.000061, 0.001221, -0.002887, -95.131607, 238.109604, 816.554321, 34.136307
1763784804.481315, 0.159214, 0.047884, -9.781212, 0.000806, 0.001570, -0.002119, -94.922241, 238.169769, 816.442749, 34.136307
1763784804.491311, 0.133926, 0.030825, -9.763105, 0.000001, 0.001518, -0.002471, -95.092453, 238.138245, 816.545166, 34.136307
1763784804.501350, 0.151284, 0.027982, -9.778817, 0.000842, 0.001057, -0.001813, -94.958801, 237.826752, 816.384644, 34.136307
1763784804.511321, 0.147842, 0.031723, -9.777920, -0.002640, 0.003141, -0.000767, -95.021362, 238.112656, 816.320618, 34.136307
1763784804.521324, 0.147543, 0.014216, -9.779416, -0.001724, 0.003593, -0.002830, -94.801514, 237.968246, 816.433716, 34.136307
1763784804.531319, 0.131681, 0.023643, -9.780015, -0.002927, 0.003343, -0.001064, -95.100128, 237.876465, 816.413696, 34.136307
1763784804.541325, 0.150685, 0.016460, -9.776722, -0.005206, 0.004685, -0.002697, -95.007599, 237.665466, 816.493774, 34.136307
1763784804.551320, 0.152930, 0.023044, -9.780463, -0.003732, 0.004747, -0.001782, -95.114288, 237.791397, 816.375977, 34.136307
1763784804.561320, 0.148291, 0.019752, -9.785401, -0.006189, 0.004329, -0.002017, -95.174316, 238.139893, 816.450562, 34.136307
1763784804.571320, 0.156671, 0.039055, -9.775525, -0.005302, 0.004745, -0.002012, -94.897369, 238.014511, 816.335938, 34.136307
1763784804.581295, 0.165948, 0.041599, -9.784504, -0.005879, 0.004863, -0.002351, -95.150177, 238.026871, 816.231323, 34.136307
1763784804.591299, 0.156521, 0.041749, -9.779865, -0.003970, 0.004022, -0.002874, -95.037354, 237.985886, 816.577820, 34.136307
1763784804.601293, 0.152930, 0.038906, -9.776573, -0.003236, 0.003351, -0.003442, -95.140518, 237.897049, 816.412720, 34.136307
1763784804.611290, 0.160262, 0.044293, -9.774927, -0.004269, 0.003025, -0.003388, -95.033493, 238.205841, 816.311951, 34.136307
1763784804.621299, 0.148740, 0.048483, -9.772982, -0.002234, 0.001875, -0.001416, -94.998169, 238.045288, 816.139893, 34.136307
1763784804.631299, 0.152331, 0.040253, -9.771635, -0.000879, 0.002336, -0.001808, -95.058060, 238.105286, 816.185913, 34.136307
1763784804.641300, 0.152331, 0.040253, -9.771635, -0.001883, 0.000910, -0.003084, -95.052643, 238.309326, 816.453186, 34.136307
1763784804.651303, 0.161609, 0.032771, -9.780015, -0.000484, 0.001757, -0.001999, -95.105545, 237.997864, 816.614258, 34.136307
1763784804.661294, 0.165499, 0.029329, -9.783905, -0.001990, 0.000237, -0.003417, -95.167496, 237.950745, 816.617798, 34.136307
1763784804.671306, 0.146495, 0.031424, -9.776872, -0.002988, 0.001270, -0.002949, -94.798645, 237.972839, 816.303223, 34.136307
1763784804.681297, 0.140360, 0.030227, -9.760262, -0.002737, 0.002685, -0.002737, -95.063629, 237.967850, 816.067383, 34.136307
1763784804.691303, 0.145897, 0.031424, -9.766248, -0.002947, 0.002378, -0.001186, -95.214203, 238.133209, 816.424072, 34.136307
1763784804.701293, 0.150984, 0.025139, -9.771485, -0.002947, 0.002378, -0.001186, -95.108963, 238.021744, 816.330139, 34.136307
1763784804.711297, 0.145747, 0.041001, -9.772233, -0.003679, 0.001973, -0.001750, -94.891434, 238.259140, 816.332458, 34.136307
1763784804.721292, 0.145747, 0.041001, -9.772233, -0.003679, 0.001973, -0.001750, -94.978668, 238.135056, 816.565918, 34.136307
1763784804.731291, 0.146196, 0.041001, -9.777770, -0.004082, 0.003423, -0.003610, -95.259552, 238.229553, 816.501465, 34.136307
1763784804.741294, 0.150685, 0.039355, -9.776722, -0.004022, 0.003497, -0.002305, -94.962433, 238.126221, 816.479004, 34.136307
1763784804.751297, 0.142455, 0.039953, -9.779117, -0.004287, 0.003702, -0.004091, -95.012146, 238.183365, 816.434448, 34.136307
1763784804.761291, 0.156521, 0.035015, -9.778368, -0.001856, 0.003494, -0.001728, -95.015411, 238.132767, 816.511047, 34.136307
1763784804.771293, 0.157269, 0.033220, -9.770438, -0.002270, 0.004198, -0.002600, -94.963348, 237.976318, 816.468018, 34.136307
1763784804.781304, 0.160112, 0.032471, -9.768642, -0.001485, 0.003091, -0.001225, -95.125641, 238.060257, 816.417358, 34.136307
1763784804.791295, 0.149039, 0.037858, -9.776274, -0.001986, 0.001858, -0.002703, -95.059464, 238.172897, 816.488770, 34.136307
1763784804.801292, 0.139163, 0.034417, -9.788245, -0.002250, 0.002992, -0.002119, -95.060867, 238.121597, 816.426636, 34.136307
1763784804.811295, 0.154426, 0.041001, -9.782708, -0.002302, 0.001569, -0.001754, -95.241364, 238.151794, 816.476257, 34.136307
1763784804.821294, 0.136769, 0.036811, -9.785850, -0.000799, 0.004064, -0.002464, -95.163376, 238.078049, 816.523254, 34.136307
1763784804.831291, 0.152630, 0.026486, -9.771934, -0.000510, 0.002014, -0.002982, -95.156113, 238.158646, 816.439331, 34.136307
1763784804.841308, 0.159813, 0.034117, -9.776423, -0.002964, 0.001373, -0.002988, -95.279007, 238.074371, 816.416443, 34.136307
1763784804.851293, 0.163853, 0.030825, -9.787646, -0.003147, 0.002833, -0.003247, -95.128616, 238.213593, 816.511353, 34.136307
1763784804.861315, 0.150685, 0.028132, -9.780015, -0.003468, 0.002454, -0.002650, -95.116348, 238.281799, 816.519775, 34.136307
